"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location","location_address","location_city","location_state","location_zip"
"12186375","JD391147","2020-10-06T23:10:00.000","032XX N SEMINARY AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","1924","019","44","6","03","1168380","1921574","2020","2020-10-13T15:49:45.000","41.940332868","-87.656552032","POINT (-87.656552032 41.940332868)","","","",""
"12186281","JD391136","2020-10-06T23:08:00.000","007XX W 82ND ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","0622","006","21","71","08B","1172637","1850505","2020","2020-10-13T15:49:45.000","41.745220304","-87.643005725","POINT (-87.643005725 41.745220304)","","","",""
"12186507","JD391334","2020-10-06T23:00:00.000","056XX N LINCOLN AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","2011","020","40","2","14","1157462","1937330","2020","2020-10-13T15:49:45.000","41.983797744","-87.696248798","POINT (-87.696248798 41.983797744)","","","",""
"12186408","JD391301","2020-10-06T23:00:00.000","024XX W WINONA ST","0620","BURGLARY","UNLAWFUL ENTRY","RESIDENCE","false","false","2031","020","40","4","05","1158995","1934095","2020","2020-10-13T15:49:45.000","41.974889329","-87.69069993","POINT (-87.69069993 41.974889329)","","","",""
"12186282","JD391178","2020-10-06T23:00:00.000","009XX W 50TH ST","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false","0933","009","20","61","14","1170961","1871679","2020","2020-10-13T15:49:45.000","41.80336104","-87.648529059","POINT (-87.648529059 41.80336104)","","","",""
"12187104","JD391530","2020-10-06T23:00:00.000","040XX W LAWRENCE AVE","1210","DECEPTIVE PRACTICE","THEFT OF LABOR / SERVICES","RESTAURANT","false","false","1712","017","39","14","11","1148406","1931589","2020","2020-10-13T15:49:45.000","41.968224063","-87.729704278","POINT (-87.729704278 41.968224063)","","","",""
"12186380","JD391257","2020-10-06T23:00:00.000","030XX W JACKSON BLVD","5002","OTHER OFFENSE","OTHER VEHICLE OFFENSE","HOTEL / MOTEL","false","false","1124","011","28","27","26","1156343","1898537","2020","2020-10-13T15:49:45.000","41.877369643","-87.701415852","POINT (-87.701415852 41.877369643)","","","",""
"12186251","JD391148","2020-10-06T22:56:00.000","105XX S EDBROOKE AVE","3731","INTERFERENCE WITH PUBLIC OFFICER","OBSTRUCTING IDENTIFICATION","STREET","true","false","0512","005","9","49","24","1179134","1835100","2020","2020-10-13T15:49:45.000","41.702801528","-87.619667745","POINT (-87.619667745 41.702801528)","","","",""
"12186268","JD391189","2020-10-06T22:55:00.000","008XX S LARAMIE AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","HIGHWAY / EXPRESSWAY","false","false","1522","015","29","25","04A","1141855","1895717","2020","2020-10-13T15:49:45.000","41.869911593","-87.754682178","POINT (-87.754682178 41.869911593)","","","",""
"12186357","JD391142","2020-10-06T22:52:00.000","065XX S ARTESIAN AVE","0620","BURGLARY","UNLAWFUL ENTRY","APARTMENT","false","true","0832","008","16","66","05","1161164","1861273","2020","2020-10-13T15:49:45.000","41.775014167","-87.684747365","POINT (-87.684747365 41.775014167)","","","",""
